dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,2,1.0262153148651123,0,325,275,132,124
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,3,2.066924810409546,0,1575,1273,743,224
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,5,4.0610671043396,0,4033,2744,1948,238
satimage,5,2,0.2545802593231201,0,10014,431,3233,422
satimage,5,3,0.30556774139404297,0,11769,1333,4988,501
satimage,5,5,0.5337889194488525,0,16520,5265,9739,511
turkiye,11,2,0.27849459648132324,0,11781,1873,4926,459
turkiye,11,3,0.8128678798675537,0,26800,13580,15366,589
turkiye,11,5,124.42583680152893,0,460499,444774,345892,680
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,2,1.684220790863037,0,1039,166,377,139
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,3,1.6655468940734863,0,1039,166,377,139
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,5,1.692199945449829,0,1039,166,377,139
auto2, class2,2,12.064861297607422,0,304590,303024,151921,713
auto2, class2,3,-1.0,1,-1,-1,-1,-1
auto2, class2,5,-1.0,1,-1,-1,-1,-1
oil_spill,2,2,0.29341816902160645,0,17025,587,7016,350
oil_spill,2,3,0.31258487701416016,0,18205,923,8195,469
oil_spill,2,5,0.32807135581970215,0,18789,1373,8779,510
DryBeans,HOROZ,2,0.0817568302154541,0,1717,159,507,261
DryBeans,HOROZ,3,0.09221673011779785,0,2054,231,844,384
DryBeans,HOROZ,5,0.09601974487304688,0,2166,312,956,437
spectf_heart,0,2,0.20934510231018066,0,15054,874,7395,484
spectf_heart,0,3,0.2765665054321289,0,17221,912,9562,506
spectf_heart,0,5,0.2756197452545166,0,17229,915,9570,509
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,2,32.36607050895691,0,301,251,182,131
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,3,63.73822355270386,0,1356,436,990,181
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,5,63.54778861999512,0,1356,436,990,181
planning,2,2,0.024950265884399414,0,1176,616,494,215
planning,2,3,0.06738734245300293,0,3646,826,2236,237
planning,2,5,0.06797218322753906,0,3677,856,2254,237
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,2,0.005423545837402344,0,7,5,4,4
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,3,0.005561113357543945,0,7,5,4,4
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,5,0.0054395198822021484,0,7,5,4,4
trains,west,2,0.008092880249023438,0,80,0,32,0
trains,west,3,0.00814509391784668,0,80,0,32,0
trains,west,5,0.007814645767211914,0,80,0,32,0
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,2,1.819420337677002,0,80200,4198,40530,191
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,3,2.2300875186920166,0,82680,4198,42740,191
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,5,2.2187981605529785,0,82680,4198,42740,191
appendicitis,1,2,0.011241674423217773,0,379,80,105,34
appendicitis,1,3,0.012366294860839844,0,438,118,143,64
appendicitis,1,5,0.012883901596069336,0,462,139,166,84
mc2,2,2,0.131072998046875,0,9870,574,3916,353
mc2,2,3,0.18532228469848633,0,13071,2525,7066,481
mc2,2,5,0.835376501083374,0,28142,14206,22108,541
breast_cancer_wis_ori,M,2,0.10722470283508301,0,7141,206,2887,327
breast_cancer_wis_ori,M,3,0.1146087646484375,0,7426,257,3172,405
breast_cancer_wis_ori,M,5,0.11430740356445312,0,7479,298,3225,449
urban,shadow ,2,1.8749401569366455,0,113163,853,63176,539
urban,shadow ,3,1.935863971710205,0,116439,3633,66452,760
urban,shadow ,5,9.062107563018799,0,200775,87969,150788,1013
parkinsons,0,2,0.05492734909057617,0,3658,255,1462,294
parkinsons,0,3,0.06427884101867676,0,4208,402,2012,378
parkinsons,0,5,0.0672903060913086,0,4382,487,2186,416
haberman,2,2,0.006035327911376953,0,66,49,29,28
haberman,2,3,0.006724357604980469,0,107,56,50,29
haberman,2,5,0.006514310836791992,0,107,56,50,29
pitt1_3,LONG,2,0.008489847183227539,0,214,67,94,37
pitt1_3,LONG,3,0.009263753890991211,0,255,94,115,50
pitt1_3,LONG,5,0.009851217269897461,0,259,96,116,51
NormalDist_Random-Synthetic__2_8_5616_,0,2,0.0295255184173584,0,741,582,315,206
NormalDist_Random-Synthetic__2_8_5616_,0,3,0.12229204177856445,0,5198,2600,2575,309
NormalDist_Random-Synthetic__2_8_5616_,0,5,0.4208061695098877,0,12635,4442,6875,323
musk,2,2,4.077442407608032,0,161787,1617,85183,602
musk,2,3,4.318300008773804,0,169306,4479,92701,673
musk,2,5,6.5795581340789795,0,200158,32417,123553,683
car,good,2,0.008950948715209961,0,126,104,101,101
car,good,3,0.013768434524536133,0,391,220,360,206
car,good,5,0.016014575958251953,0,453,235,422,221
libras,4,2,0.3693974018096924,0,24450,626,15988,507
libras,4,3,0.4048140048980713,0,27115,1566,18653,699
libras,4,5,0.824547290802002,0,38278,12729,29816,923
monks2,1,2,0.008212089538574219,0,153,136,91,91
monks2,1,3,0.015406608581542969,0,592,457,321,216
monks2,1,5,0.025071144104003906,0,983,561,654,221
onehund_tex,Acer Capillipes,2,0.15795183181762695,0,8449,859,4890,352
onehund_tex,Acer Capillipes,3,0.33847570419311523,0,16421,3620,12842,590
onehund_tex,Acer Capillipes,5,1.581620216369629,0,46860,23969,43260,932
grammatical_b3,0,2,0.5792520046234131,0,30116,1946,29513,556
grammatical_b3,0,3,1.0806076526641846,0,55784,18825,55181,650
grammatical_b3,0,5,195.7939567565918,0,661157,567616,660554,699
volcanoes-a4,5,2,0.006475210189819336,0,78,46,18,18
volcanoes-a4,5,3,0.00744938850402832,0,106,65,37,37
volcanoes-a4,5,5,0.0072286128997802734,0,106,65,37,37
chronic_kidney_disease,ckd,2,0.03801703453063965,0,2285,187,1101,269
chronic_kidney_disease,ckd,3,0.04317736625671387,0,2641,249,1450,373
chronic_kidney_disease,ckd,5,0.04535984992980957,0,2707,295,1516,415
PopularKids,2,2,0.017386436462402344,0,741,411,294,175
PopularKids,2,3,0.048079490661621094,0,2579,884,1410,283
PopularKids,2,5,0.06800079345703125,0,3192,1303,1974,327
ED_LVL_2_2_EqualDist_Random-Synthetic__2_10_100000_,1,2,0.6543962955474854,0,5050,4600,2350,341
ED_LVL_2_2_EqualDist_Random-Synthetic__2_10_100000_,1,3,11.18252682685852,0,125050,5660,64694,341
ED_LVL_2_2_EqualDist_Random-Synthetic__2_10_100000_,1,5,11.201606750488281,0,125050,5660,64694,341
yeast,ME1,2,0.010152816772460938,0,181,132,78,78
yeast,ME1,3,0.016816377639770508,0,551,207,359,205
yeast,ME1,5,0.019127607345581055,0,661,274,469,275
auto8,class9,2,81.21748471260071,0,5391008,84245,2818138,933
auto8,class9,3,286.5904269218445,0,9253009,211497,6423476,1133
auto8,class9,5,-1.0,1,-1,-1,-1,-1
analcatdata_dmft,1,2,0.009042978286743164,0,231,121,67,54
analcatdata_dmft,1,3,0.012224674224853516,0,419,224,154,103
analcatdata_dmft,1,5,0.013058900833129883,0,446,231,169,109
pc2,2,2,0.12524652481079102,0,3932,448,1365,388
pc2,2,3,0.21243524551391602,0,6699,2414,4097,599
pc2,2,5,3.52238130569458,0,49100,44815,46462,997
scene,2,2,10.500746250152588,0,546676,3421,343267,673
scene,2,3,10.576720237731934,0,552503,4740,349094,872
scene,2,5,10.787128448486328,0,554060,5407,350651,1119
first,1,2,0.4564192295074463,0,15936,2293,7199,458
first,1,3,1.086327314376831,0,33186,4280,22745,808
first,1,5,1.5549354553222656,0,42548,7386,31493,1135
ecoli,om,2,0.009566068649291992,0,129,85,66,58
ecoli,om,3,0.010730981826782227,0,304,152,213,142
ecoli,om,5,0.012743711471557617,0,367,204,276,187
grammatical_a7,1,2,0.42034196853637695,0,18763,3019,18024,737
grammatical_a7,1,3,1.8793632984161377,0,85707,62924,84968,1006
grammatical_a7,1,5,-1.0,1,-1,-1,-1,-1
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,2,33.87236976623535,0,39452,21534,19515,409
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,5,-1.0,1,-1,-1,-1,-1
parkinson_speech,0,2,0.20997405052185059,0,5358,633,2974,226
parkinson_speech,0,3,0.1462082862854004,0,6738,843,4136,300
parkinson_speech,0,5,0.1286771297454834,0,6929,1004,4319,319
grammatical_b9,1,2,1.1361124515533447,0,34857,2434,34185,434
grammatical_b9,1,3,1.1822974681854248,0,52254,10101,51578,484
grammatical_b9,1,5,11.60561227798462,0,107038,62206,106361,493
climate,0,2,0.05488872528076172,0,3160,427,1436,306
climate,0,3,0.07014107704162598,0,3942,481,2216,341
climate,0,5,0.07107329368591309,0,3944,481,2218,341
isolet,14,2,15.053245067596436,0,483964,6603,473985,1047
isolet,14,3,21.383492469787598,0,626522,86353,609298,1383
isolet,14,5,-1.0,1,-1,-1,-1,-1
auto7_3,class3,2,0.018624067306518555,0,780,609,341,227
auto7_3,class3,3,0.09723615646362305,0,5586,1370,2955,360
auto7_3,class3,5,0.12425374984741211,0,6321,1736,3628,385
volcanoes-d3,3,2,0.010266304016113281,0,78,55,17,17
volcanoes-d3,3,3,0.01147913932800293,0,125,87,35,35
volcanoes-d3,3,5,0.012319564819335938,0,125,87,35,35
Diabetic,0,2,0.0469970703125,0,2017,759,944,281
Diabetic,0,3,0.1404104232788086,0,6004,1817,4311,381
Diabetic,0,5,0.2513110637664795,0,9376,4613,7258,451
ar4,2,2,0.06176590919494629,0,4297,339,1757,241
ar4,2,3,0.08456873893737793,0,5855,1317,3315,359
ar4,2,5,0.4934499263763428,0,16072,11519,13532,424
auto5, class3,2,1.7970020771026611,0,112576,4459,52299,616
auto5, class3,3,2.5786988735198975,0,137945,5506,76899,666
auto5, class3,5,2.6026668548583984,0,138155,5534,77109,668
Chess_King-Rookvs.King-Pawn__UCI_,nowin,2,0.06857705116271973,0,2558,1172,1355,394
Chess_King-Rookvs.King-Pawn__UCI_,nowin,3,0.4460775852203369,0,17039,8140,9572,635
Chess_King-Rookvs.King-Pawn__UCI_,nowin,5,12.432589530944824,0,128409,80273,77476,982
bankruptcy,1,2,0.007401227951049805,0,173,18,89,11
bankruptcy,1,3,0.007383108139038086,0,173,18,89,11
bankruptcy,1,5,0.0074748992919921875,0,173,18,89,11
onehund_sha,Acer Capillipes,2,0.17159080505371094,0,9572,418,6485,347
onehund_sha,Acer Capillipes,3,0.20038747787475586,0,10927,563,7840,524
onehund_sha,Acer Capillipes,5,0.21674847602844238,0,11439,1075,8352,735
pc3,2,2,0.14497971534729004,0,8001,593,3304,375
pc3,2,3,0.20577597618103027,0,11052,1875,6299,474
pc3,2,5,0.46076202392578125,0,17270,6683,12507,516
Marketing_EoSL_,9,2,0.07506322860717773,0,2560,317,756,253
Marketing_EoSL_,9,3,0.10653543472290039,0,3551,518,1610,394
Marketing_EoSL_,9,5,0.11810731887817383,0,3920,714,1979,454
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,2,0.045038461685180664,0,301,251,182,148
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,3,0.09501791000366211,0,1356,436,990,198
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,5,0.09709000587463379,0,1356,436,990,198
wpbc,R,2,0.14313507080078125,0,8646,998,3905,342
wpbc,R,3,0.17594361305236816,0,11594,1397,6734,406
wpbc,R,5,0.1932969093322754,0,12289,1886,7428,461
volcanoes-a3,4,2,0.006262302398681641,0,67,41,25,25
volcanoes-a3,4,3,0.00683903694152832,0,89,60,44,44
volcanoes-a3,4,5,0.00673985481262207,0,89,60,44,44
winsconsin,4,2,0.010614156723022461,0,253,134,158,131
winsconsin,4,3,0.017455577850341797,0,641,191,533,239
winsconsin,4,5,0.017592430114746094,0,677,205,569,255
optical,5,2,0.4202711582183838,0,13707,1001,5690,484
optical,5,3,0.7859981060028076,0,22989,5484,14134,770
optical,5,5,11.821356534957886,0,128901,93598,112529,1194
NormalDist_Random-Synthetic__2_12_5886_,0,2,0.050598859786987305,0,1485,1045,701,271
NormalDist_Random-Synthetic__2_12_5886_,0,3,0.31902456283569336,0,12668,6440,6367,357
NormalDist_Random-Synthetic__2_12_5886_,0,5,4.077934503555298,0,55498,18171,30427,359
horse_colic_lesion,1,2,0.0069692134857177734,0,70,0,0,0
horse_colic_lesion,1,3,0.006654262542724609,0,70,0,0,0
horse_colic_lesion,1,5,0.006697416305541992,0,70,0,0,0
contraceptive,3,2,0.01486349105834961,0,465,329,195,158
contraceptive,3,3,0.045767784118652344,0,2163,886,1147,290
contraceptive,3,5,0.07721662521362305,0,3133,1494,1902,338
heart_switzerland,1,2,0.008665800094604492,0,224,83,103,52
heart_switzerland,1,3,0.011063575744628906,0,334,161,190,119
heart_switzerland,1,5,0.012645721435546875,0,434,250,286,195
saheart,1,2,0.015024662017822266,0,595,396,291,194
saheart,1,3,0.049472808837890625,0,2727,524,1813,244
saheart,1,5,0.049210548400878906,0,2762,532,1848,247
analcatdata_boxing2,2,2,0.009066581726074219,0,301,35,89,16
analcatdata_boxing2,2,3,0.009124040603637695,0,301,35,89,16
analcatdata_boxing2,2,5,0.008821249008178711,0,301,35,89,16
analcatdata_lawsuit,2,2,0.005385637283325195,0,50,32,22,21
analcatdata_lawsuit,2,3,0.005858421325683594,0,74,44,42,32
analcatdata_lawsuit,2,5,0.006041526794433594,0,76,45,44,33
pc1_req,2,2,0.0072972774505615234,0,124,103,54,49
pc1_req,2,3,0.01208043098449707,0,397,337,178,148
pc1_req,2,5,0.02443075180053711,0,956,763,495,236
robot1,collision,2,0.011512041091918945,0,328,202,171,139
robot1,collision,3,0.02303338050842285,0,987,293,706,214
robot1,collision,5,0.023984432220458984,0,1026,307,745,223
credit-g,1,2,0.05573153495788574,0,3083,821,1470,251
credit-g,1,3,0.15049362182617188,0,8274,2150,5032,359
credit-g,1,5,0.2845008373260498,0,11826,4178,7818,435
lsvt,1,2,4.169348955154419,0,285128,1325,219940,476
lsvt,1,3,4.252518653869629,0,286637,1614,221449,514
lsvt,1,5,4.184683561325073,0,286838,1787,221650,516
acute-inflammations,2,2,0.0059201717376708984,0,69,53,43,42
acute-inflammations,2,3,0.007220029830932617,0,145,110,117,97
acute-inflammations,2,5,0.008389711380004883,0,192,157,164,132
cardio10,8,2,0.03487658500671387,0,1343,199,599,290
cardio10,8,3,0.04784965515136719,0,2012,418,1264,497
cardio10,8,5,0.06029105186462402,0,2553,790,1805,626
phishing,-1,2,0.13384294509887695,0,2279,740,1169,347
phishing,-1,3,0.4898371696472168,0,8776,2184,5692,577
phishing,-1,5,1.9585299491882324,0,25038,16573,18507,646
prnn_synth,1,2,0.005247354507446289,0,36,18,12,9
prnn_synth,1,3,0.004881858825683594,0,36,18,12,9
prnn_synth,1,5,0.004797458648681641,0,36,18,12,9
mice,t-SC-s,2,0.6296777725219727,0,39654,508,19006,538
mice,t-SC-s,3,0.6450111865997314,0,40250,586,19602,712
mice,t-SC-s,5,0.6359155178070068,0,40316,630,19668,759
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,2,0.06398200988769531,0,210,170,0,0
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,3,0.10128092765808105,0,710,670,0,0
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,5,0.15204548835754395,0,1335,1295,0,0
grammatical_a4,1,2,0.44658780097961426,0,20905,9582,20070,757
grammatical_a4,1,3,9.022604703903198,0,384578,262693,383743,893
grammatical_a4,1,5,-1.0,1,-1,-1,-1,-1
NormalDist_Random-Synthetic__2_7_7283_,1,2,0.02736830711364746,0,561,460,237,175
NormalDist_Random-Synthetic__2_7_7283_,1,3,0.09918522834777832,0,3495,2030,1784,274
NormalDist_Random-Synthetic__2_7_7283_,1,5,0.3365752696990967,0,9200,3882,5052,282
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,2,0.14238762855529785,0,5050,1651,2227,326
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,3,0.7083580493927002,0,26254,7961,13455,355
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,5,2.3019285202026367,0,56411,8001,31654,355
grammatical_b2,1,2,1.03092360496521,0,50973,8917,49930,682
grammatical_b2,1,3,6.592020750045776,0,259224,161878,258181,807
grammatical_b2,1,5,-1.0,1,-1,-1,-1,-1
ED_LVL_2_0_EqualDist_Random-Synthetic__2_10_1000_,1,2,0.08677411079406738,0,5050,1145,1984,256
ED_LVL_2_0_EqualDist_Random-Synthetic__2_10_1000_,1,3,0.151930570602417,0,7819,1145,3875,256
ED_LVL_2_0_EqualDist_Random-Synthetic__2_10_1000_,1,5,0.14866971969604492,0,7819,1145,3875,256
grammatical_b6,1,2,0.7005479335784912,0,34609,2200,33777,935
grammatical_b6,1,3,1.234128713607788,0,58129,19124,57297,1024
grammatical_b6,1,5,263.6529150009155,0,750614,687970,749782,1057
I_LVL2_0_Interesting_Non-Random-Synthetic__2_5_3125_,1,2,0.013098955154418945,0,278,227,117,107
I_LVL2_0_Interesting_Non-Random-Synthetic__2_5_3125_,1,3,0.029262304306030273,0,1138,412,657,180
I_LVL2_0_Interesting_Non-Random-Synthetic__2_5_3125_,1,5,0.03110027313232422,0,1138,412,657,180
gesture_raw,Preparation,2,0.09158658981323242,0,2926,773,1186,322
gesture_raw,Preparation,3,0.18515992164611816,0,6412,2454,4075,457
gesture_raw,Preparation,5,0.8614604473114014,0,17173,12172,14527,518
monks3,0,2,0.008293628692626953,0,153,133,53,53
monks3,0,3,0.014142036437988281,0,562,230,218,191
monks3,0,5,0.016922712326049805,0,605,230,261,191
I_LVL1_0_Interesting_Non-Random-Synthetic__2_2_4_,1,2,0.004514932632446289,0,4,0,2,0
I_LVL1_0_Interesting_Non-Random-Synthetic__2_2_4_,1,3,0.00442814826965332,0,4,0,2,0
I_LVL1_0_Interesting_Non-Random-Synthetic__2_2_4_,1,5,0.004431486129760742,0,4,0,2,0
wall2,Slight-Right-Turn,2,0.006291866302490234,0,14,7,5,5
wall2,Slight-Right-Turn,3,0.006314754486083984,0,14,7,5,5
wall2,Slight-Right-Turn,5,0.006298065185546875,0,14,7,5,5
abalone,1,2,0.02133345603942871,0,496,241,155,127
abalone,1,3,0.039035797119140625,0,1305,355,633,235
abalone,1,5,0.041107892990112305,0,1473,429,801,302
wholesale,2,2,0.010538339614868164,0,327,190,150,139
wholesale,2,3,0.020360469818115234,0,962,255,695,223
wholesale,2,5,0.021510839462280273,0,1000,278,733,244
soybean_large,purple-seed-stain,2,0.03279304504394531,0,1750,349,1125,402
soybean_large,purple-seed-stain,3,0.06496906280517578,0,3860,1489,3124,633
soybean_large,purple-seed-stain,5,0.9468634128570557,0,24209,21838,23473,693
U_LVL2_1_Uninteresting_Non-Random-Synthetic__2_5_31250_,0,2,0.04576992988586426,0,325,275,0,0
U_LVL2_1_Uninteresting_Non-Random-Synthetic__2_5_31250_,0,3,0.1016085147857666,0,1575,1525,0,0
U_LVL2_1_Uninteresting_Non-Random-Synthetic__2_5_31250_,0,5,0.5923640727996826,0,7825,4650,0,0
onehund_mar,Acer Capillipes,2,0.1766490936279297,0,9538,521,6249,416
onehund_mar,Acer Capillipes,3,0.22806811332702637,0,12350,2136,9060,629
onehund_mar,Acer Capillipes,5,0.6646506786346436,0,24398,10365,21108,958
jEdit_4.2_4.3,1,2,0.012423992156982422,0,406,255,181,139
jEdit_4.2_4.3,1,3,0.026144742965698242,0,1304,508,776,229
jEdit_4.2_4.3,1,5,0.033428192138671875,0,1568,706,1035,259
hiv_impens,1,2,0.12004494667053223,0,8283,252,2224,144
hiv_impens,1,3,0.12331366539001465,0,8373,253,2288,144
hiv_impens,1,5,0.12481808662414551,0,8373,253,2288,144
abalone_ori,18,2,0.018894195556640625,0,466,208,158,144
abalone_ori,18,3,0.03252410888671875,0,1073,352,604,255
abalone_ori,18,5,0.037872314453125,0,1267,489,798,298
ada_agnostic,2,2,0.14722704887390137,0,4564,1182,1987,461
ada_agnostic,2,3,0.6781582832336426,0,19761,13366,13295,743
ada_agnostic,2,5,331.57379269599915,0,1027270,1007223,832534,1173
pitt1_1,DECK,2,0.007942676544189453,0,195,65,84,34
pitt1_1,DECK,3,0.008774518966674805,0,235,92,100,44
pitt1_1,DECK,5,0.009090185165405273,0,239,94,101,45
hiv_1625,1,2,0.14735698699951172,0,9340,224,1960,234
hiv_1625,1,3,0.14773273468017578,0,9474,260,2094,280
hiv_1625,1,5,0.14520001411437988,0,9498,278,2118,298
mfeat-factors,7,2,1.9711368083953857,0,101889,745,90166,644
mfeat-factors,7,3,1.989652156829834,0,102692,935,90969,721
mfeat-factors,7,5,1.9821174144744873,0,102820,1014,91097,743
ED_LVL_1_0_EqualDist_Random-Synthetic__2_5_1000_,0,2,0.011010885238647461,0,325,275,133,127
ED_LVL_1_0_EqualDist_Random-Synthetic__2_5_1000_,0,3,0.03125190734863281,0,1575,454,843,170
ED_LVL_1_0_EqualDist_Random-Synthetic__2_5_1000_,0,5,0.03232288360595703,0,1591,454,859,170
ED_LVL_3_2_EqualDist_Random-Synthetic__2_20_100000_,1,2,7.274240016937256,0,80200,76400,38669,212
ED_LVL_3_2_EqualDist_Random-Synthetic__2_20_100000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_2_EqualDist_Random-Synthetic__2_20_100000_,1,5,-1.0,1,-1,-1,-1,-1
Seismic-Bumps_UCI_,1,2,0.08887672424316406,0,821,360,358,226
Seismic-Bumps_UCI_,1,3,0.09877443313598633,0,2515,1055,1439,406
Seismic-Bumps_UCI_,1,5,0.21908140182495117,0,6021,3906,3540,542
pitt2_4,S,2,0.00786447525024414,0,143,66,67,36
pitt2_4,S,3,0.00866246223449707,0,221,113,99,56
pitt2_4,S,5,0.009192466735839844,0,234,121,105,58
lenses,softCL,2,0.004873752593994141,0,15,4,10,3
lenses,softCL,3,0.004559516906738281,0,15,4,10,3
lenses,softCL,5,0.004548788070678711,0,15,4,10,3
statlog_ls,5,2,0.5675528049468994,0,10014,431,3233,422
statlog_ls,5,3,0.4022037982940674,0,11769,1333,4988,501
statlog_ls,5,5,0.6791620254516602,0,16520,5265,9739,511
EqualDist_Random-Synthetic__2_14_5644_,1,2,0.0792992115020752,0,2701,2526,1265,304
EqualDist_Random-Synthetic__2_14_5644_,1,3,1.369203805923462,0,52966,13759,27167,332
EqualDist_Random-Synthetic__2_14_5644_,1,5,4.622811555862427,0,75202,16096,41675,332
thyroid_sick,sick.,2,0.049299001693725586,0,1775,430,679,304
thyroid_sick,sick.,3,0.11796832084655762,0,4682,1731,3101,606
thyroid_sick,sick.,5,1.4744329452514648,0,28790,25783,21227,819
BreastCancerWisconsin_UCI_,4,2,0.05116534233093262,0,3015,153,1830,168
BreastCancerWisconsin_UCI_,4,3,0.054445505142211914,0,3084,167,1899,180
BreastCancerWisconsin_UCI_,4,5,0.0529780387878418,0,3086,168,1901,181
pamap2,1,2,1.4292426109313965,0,19715,779,2516,342
pamap2,1,3,1.7184398174285889,0,25889,1093,8690,604
pamap2,1,5,1.7623581886291504,0,26405,1225,9206,721
U_LVL1_2_Uninteresting_Non-Random-Synthetic__2_2_400_,1,2,0.004471778869628906,0,10,8,0,0
U_LVL1_2_Uninteresting_Non-Random-Synthetic__2_2_400_,1,3,0.004667758941650391,0,10,8,0,0
U_LVL1_2_Uninteresting_Non-Random-Synthetic__2_2_400_,1,5,0.004624605178833008,0,10,8,0,0
visualizing_livestock,4,2,0.00549626350402832,0,33,3,2,2
visualizing_livestock,4,3,0.005171537399291992,0,33,3,2,2
visualizing_livestock,4,5,0.005356311798095703,0,33,3,2,2
volcanoes-a2,4,2,0.00648188591003418,0,67,41,22,22
volcanoes-a2,4,3,0.007554769515991211,0,88,60,41,41
volcanoes-a2,4,5,0.0071942806243896484,0,88,60,41,41
blogger,no,2,0.006956577301025391,0,106,49,44,18
blogger,no,3,0.007516145706176758,0,144,76,50,22
blogger,no,5,0.007991552352905273,0,157,85,52,23
grammatical_a5,1,2,0.9630045890808105,0,53194,1493,51472,518
grammatical_a5,1,3,1.1327037811279297,0,61242,5364,59509,526
grammatical_a5,1,5,2.909388780593872,0,82253,20475,80519,526
prnn_crabs,1,2,0.010744094848632812,0,351,174,109,85
prnn_crabs,1,3,0.017846107482910156,0,716,348,303,173
prnn_crabs,1,5,0.02186894416809082,0,889,457,445,221
hepatitis,1,2,0.020587444305419922,0,996,241,459,182
hepatitis,1,3,0.03175973892211914,0,1754,434,1138,318
hepatitis,1,5,0.03865504264831543,0,2041,579,1425,419
