dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting
spect_heart,0,2,0.021558761596679688,0,697,486,260,210
spect_heart,0,3,0.08419585227966309,0,3767,1945,1809,478
spect_heart,0,5,1.3956153392791748,0,70255,33313,33283,1140
fertility,O,2,0.009725093841552734,0,348,156,74,74
fertility,O,3,0.02547311782836914,0,1399,308,141,133
fertility,O,5,0.044493913650512695,0,2798,352,161,143
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.021785259246826172,0,276,276,137,132
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.05104207992553711,0,1526,1161,597,282
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1249232292175293,0,4486,1993,1054,379
Mushroom_UCI_,p,2,0.11161494255065918,0,2719,700,484,389
Mushroom_UCI_,p,3,0.2729790210723877,0,10105,1372,1124,744
Mushroom_UCI_,p,5,0.859520673751831,0,36427,2532,2438,1537
wall24,Slight-Right-Turn,2,0.09377026557922363,0,3213,980,757,438
wall24,Slight-Right-Turn,3,0.3194892406463623,0,14778,2236,1793,1037
wall24,Slight-Right-Turn,5,0.8614983558654785,0,47645,4803,4546,2420
thyroid_allbp,increased binding protein.,2,0.050071001052856445,0,1344,782,414,248
thyroid_allbp,increased binding protein.,3,0.3092515468597412,0,11071,3624,2163,832
thyroid_allbp,increased binding protein.,5,5.469740867614746,0,232740,47108,35986,2533
analcatdata_creditscore,1,2,0.0065882205963134766,0,174,61,28,28
analcatdata_creditscore,1,3,0.009991168975830078,0,445,108,46,46
analcatdata_creditscore,1,5,0.012505054473876953,0,605,125,55,55
primary,1,2,0.018452167510986328,0,658,391,203,169
primary,1,3,0.06627774238586426,0,3203,1511,909,432
primary,1,5,0.35872554779052734,0,19655,7256,5014,979
breast_tissue_merged,car,2,0.010211467742919922,0,433,99,65,65
breast_tissue_merged,car,3,0.01945352554321289,0,1057,152,103,103
breast_tissue_merged,car,5,0.02395462989807129,0,1325,165,113,112
pima,1,2,0.01624584197998047,0,424,398,213,182
pima,1,3,0.061929941177368164,0,2617,981,685,422
pima,1,5,0.11397314071655273,0,7050,1112,839,497
Divorce,1,2,0.11520838737487793,0,7551,570,569,561
Divorce,1,3,0.29755711555480957,0,22456,885,884,877
Divorce,1,5,0.8990757465362549,0,65401,1357,1356,1348
asbestos,(3)_Above_legal_limit,2,0.00574493408203125,0,29,19,8,8
asbestos,(3)_Above_legal_limit,3,0.0065460205078125,0,41,21,9,9
asbestos,(3)_Above_legal_limit,5,0.0063512325286865234,0,41,21,9,9
bupa,1,2,0.014732599258422852,0,265,247,123,122
bupa,1,3,0.03232693672180176,0,1481,405,200,170
bupa,1,5,0.03747749328613281,0,1933,414,205,170
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.00812220573425293,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.00763249397277832,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0067882537841796875,0,1,0,0,0
cardio3,2,2,0.0435025691986084,0,1225,596,370,271
cardio3,2,3,0.18046855926513672,0,8527,2619,1300,745
cardio3,2,5,1.0419361591339111,0,59882,8622,6818,1798
volcanoes-d4,3,2,0.01087641716003418,0,61,60,17,17
volcanoes-d4,3,3,0.01273798942565918,0,125,95,36,36
volcanoes-d4,3,5,0.013004541397094727,0,125,95,36,36
pitt2_3,LONG,2,0.007957935333251953,0,196,72,40,40
pitt2_3,LONG,3,0.011807680130004883,0,438,119,64,64
pitt2_3,LONG,5,0.011245250701904297,0,515,128,69,69
grammatical_b5,1,2,2.296348810195923,0,128371,5251,4865,1405
grammatical_b5,1,3,31.820104122161865,0,1802632,50769,49635,3551
grammatical_b5,1,5,-1.0,1,-1,-1,-1,-1
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.10355401039123535,0,276,276,139,136
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.17484402656555176,0,1526,1526,768,303
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.42760396003723145,0,7776,4651,2291,448
pitt1_4,S,2,0.006600856781005859,0,205,66,34,34
pitt1_4,S,3,0.008899927139282227,0,389,92,44,44
pitt1_4,S,5,0.009388923645019531,0,435,93,44,44
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,3.7618331909179688,0,4601,2801,1414,319
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,23.480052709579468,0,76601,27704,14070,592
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,308.9562077522278,0,1266011,90637,45172,857
gesture_va,P,2,0.26522397994995117,0,8065,2837,1985,453
gesture_va,P,3,1.7066926956176758,0,76505,5150,4234,795
gesture_va,P,5,7.179196357727051,0,390501,22739,14700,1915
connectionist_vowel,4,2,0.03252053260803223,0,1492,660,479,312
connectionist_vowel,4,3,0.07889151573181152,0,4348,1007,845,448
connectionist_vowel,4,5,0.20419859886169434,0,14698,1526,1388,812
breast_cancer_wis_pro,R,2,0.16830110549926758,0,11507,1952,1449,420
breast_cancer_wis_pro,R,3,0.9766566753387451,0,94875,2452,1810,524
breast_cancer_wis_pro,R,5,1.7455642223358154,0,177193,3534,2371,610
diggle_table_a2,8,2,0.008632421493530273,0,289,104,70,70
diggle_table_a2,8,3,0.016097545623779297,0,825,223,205,200
diggle_table_a2,8,5,0.03231644630432129,0,1937,500,490,349
page,5,2,0.02614283561706543,0,629,343,216,188
page,5,3,0.05147552490234375,0,2005,601,480,383
page,5,5,0.09561896324157715,0,4785,991,914,620
steel-plates-fault,2,2,0.1328258514404297,0,6069,2356,1721,553
steel-plates-fault,2,3,0.5964038372039795,0,32499,6954,5641,1142
steel-plates-fault,2,5,0.6581559181213379,0,38550,9812,8972,1697
mechanical,4,2,0.021503210067749023,0,372,268,152,142
mechanical,4,3,0.06004452705383301,0,2171,961,605,330
mechanical,4,5,0.12467384338378906,0,5866,1441,1054,475
OnlineShoppersIntention,True,2,0.09905242919921875,0,2440,788,482,304
OnlineShoppersIntention,True,3,0.47394752502441406,0,18702,3024,2092,757
OnlineShoppersIntention,True,5,3.4249801635742188,0,162384,13178,9730,1172
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.13730645179748535,0,4601,4601,2264,412
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.0691330432891846,0,124601,7254,4425,743
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,2.9197518825531006,0,191841,7254,4425,743
glass,3,2,0.011497259140014648,0,414,221,145,137
glass,3,3,0.026435136795043945,0,1494,426,355,279
glass,3,5,0.03650045394897461,0,2141,581,511,346
molecular_promoter,+,2,0.16009926795959473,0,13009,1135,911,466
molecular_promoter,+,3,0.6352977752685547,0,62593,954,876,524
molecular_promoter,+,5,0.9785149097442627,0,97273,863,820,524
blood,1,2,0.0061872005462646484,0,113,98,46,46
blood,1,3,0.009638309478759766,0,321,179,84,84
blood,1,5,0.01071619987487793,0,385,204,96,96
weight,B,2,0.17612934112548828,0,15074,657,621,374
weight,B,3,0.4211263656616211,0,40235,634,622,421
weight,B,5,1.2165040969848633,0,122184,585,539,436
ozone1,1,2,0.18622756004333496,0,9211,1456,1333,559
ozone1,1,3,1.3433218002319336,0,79889,5032,5006,1291
ozone1,1,5,21.879481315612793,0,1410091,62603,62598,4356
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.294191837310791,0,276,276,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4608736038208008,0,1526,1526,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,0.9963750839233398,0,7776,4651,0,0
ionosphere,b,2,0.08612489700317383,0,5083,757,548,345
ionosphere,b,3,0.24395275115966797,0,16990,1365,957,618
ionosphere,b,5,1.116065502166748,0,95108,7455,2125,1180
grammatical_b7,1,2,1.4313337802886963,0,84822,5644,5327,1674
grammatical_b7,1,3,23.927571296691895,0,1514008,68239,66982,6094
grammatical_b7,1,5,-1.0,1,-1,-1,-1,-1
wine_quality,4,2,0.04219841957092285,0,1015,818,427,247
wine_quality,4,3,0.15603065490722656,0,6755,1737,1167,470
wine_quality,4,5,0.47803711891174316,0,24427,3417,2837,921
VehicleCouponRecommendation,0,2,0.11252593994140625,0,3267,1476,835,340
VehicleCouponRecommendation,0,3,0.6421849727630615,0,28040,6236,3142,679
VehicleCouponRecommendation,0,5,4.4378135204315186,0,221420,38308,15438,1377
auto7_2,class3,2,0.02115607261657715,0,734,700,333,222
auto7_2,class3,3,0.12301301956176758,0,6914,2613,1645,503
auto7_2,class3,5,0.40789175033569336,0,28894,3936,2515,656
wave,0,2,0.10024070739746094,0,3293,1574,1116,489
wave,0,3,0.8647415637969971,0,44761,4251,3566,958
wave,0,5,3.308642864227295,0,193729,9648,8185,1692
cnae9,4,2,13.211993932723999,0,785835,369743,261398,816
cnae9,4,3,-1.0,1,-1,-1,-1,-1
cnae9,4,5,-1.0,1,-1,-1,-1,-1
grammatical_a9,1,2,1.3208839893341064,0,81716,4928,4594,1193
grammatical_a9,1,3,29.055817127227783,0,1935438,82156,81482,2792
grammatical_a9,1,5,-1.0,1,-1,-1,-1,-1
teaching,2,2,0.008072137832641602,0,340,48,21,21
teaching,2,3,0.009571075439453125,0,474,60,25,25
teaching,2,5,0.009696006774902344,0,494,60,25,25
auto6_1,class8,2,0.22504186630249023,0,11864,5460,4344,484
auto6_1,class8,3,2.8651559352874756,0,193653,7387,6833,828
auto6_1,class8,5,4.788726329803467,0,362171,7377,6847,884
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.596357345581055,0,4601,4601,2314,436
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,499.3382978439331,0,124601,64957,32506,750
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,5,-1.0,1,-1,-1,-1,-1
ozone8,1,2,0.2991447448730469,0,15403,1994,1652,656
ozone8,1,3,1.654578685760498,0,99693,6701,6543,1450
ozone8,1,5,27.36983370780945,0,1752569,73265,72909,4072
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.014342784881591797,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.013167858123779297,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.013124942779541016,0,9,9,0,0
bach, C#d,2,0.027378559112548828,0,574,191,184,168
bach, C#d,3,0.08888506889343262,0,3622,702,701,395
bach, C#d,5,0.5156750679016113,0,29218,2858,2857,938
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,29.817412614822388,0,76401,76401,38263,673
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_1year,1,2,0.31696486473083496,0,14409,1622,1454,494
polish_bankruptcy_1year,1,3,1.5978271961212158,0,86689,6612,5428,1249
polish_bankruptcy_1year,1,5,19.281157970428467,0,1244141,131522,118017,2633
coil2000,1,2,1.830451250076294,0,82626,11794,6885,1136
coil2000,1,3,12.638957500457764,0,585210,94248,57148,1762
coil2000,1,5,453.70777320861816,0,19236438,4068103,2602429,4931
robot2,back_col,2,0.011019706726074219,0,317,288,147,135
robot2,back_col,3,0.02498173713684082,0,1257,401,315,209
robot2,back_col,5,0.04101991653442383,0,2517,458,374,264
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.023882389068603516,0,553,553,269,204
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.11318349838256836,0,4722,4014,2246,476
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.5235276222229004,0,34268,5881,3647,597
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.003396272659301758,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0035071372985839844,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.003308534622192383,0,9,9,0,0
auto6_3,class1,2,0.19910764694213867,0,11533,2747,2331,529
auto6_3,class1,3,1.1393406391143799,0,95718,3352,3137,762
auto6_3,class1,5,1.919645071029663,0,176386,3428,3215,769
grammatical_b1,1,2,3.1800050735473633,0,197421,7206,6697,1497
grammatical_b1,1,3,36.994080781936646,0,2353463,69555,55629,3351
grammatical_b1,1,5,-1.0,1,-1,-1,-1,-1
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.04734683036804199,0,1163,1163,567,273
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3597879409790039,0,15637,11553,6427,675
EqualDist_Random-Synthetic__2_10_7463_,1,5,2.182856559753418,0,130500,18420,11302,846
volcanoes-a1,4,2,0.005792140960693359,0,61,42,22,22
volcanoes-a1,4,3,0.0073070526123046875,0,121,61,41,41
volcanoes-a1,4,5,0.0071485042572021484,0,121,61,41,41
vert3,NO,2,0.009113788604736328,0,265,196,115,115
vert3,NO,3,0.020188093185424805,0,1153,297,205,179
vert3,NO,5,0.025939464569091797,0,1677,312,226,194
CongressionalVotingRecords_UCI_,republican,2,0.0178983211517334,0,706,345,230,211
CongressionalVotingRecords_UCI_,republican,3,0.04075312614440918,0,2212,577,524,355
CongressionalVotingRecords_UCI_,republican,5,0.12882328033447266,0,8290,1233,1232,750
pitt2_2,WOOD,2,0.006033897399902344,0,161,52,27,27
pitt2_2,WOOD,3,0.008391618728637695,0,340,77,40,40
pitt2_2,WOOD,5,0.008998870849609375,0,401,79,41,41
statlog_vehicle,opel,2,0.05050039291381836,0,2453,993,639,332
statlog_vehicle,opel,3,0.19739389419555664,0,12173,1726,1386,570
statlog_vehicle,opel,5,0.6431782245635986,0,44013,4271,3832,1046
pitt2_1,DECK,2,0.0066852569580078125,0,192,72,39,39
pitt2_1,DECK,3,0.0095977783203125,0,421,118,58,58
pitt2_1,DECK,5,0.010537385940551758,0,492,125,60,60
grammatical_a8,1,2,1.4700946807861328,0,86963,3735,3444,1390
grammatical_a8,1,3,19.54272699356079,0,1250327,38687,38347,3662
grammatical_a8,1,5,-1.0,1,-1,-1,-1,-1
grammatical_a6,1,2,1.058473825454712,0,59196,3801,3460,1203
grammatical_a6,1,3,20.739320039749146,0,1264854,60692,60348,3903
grammatical_a6,1,5,-1.0,1,-1,-1,-1,-1
auto6_2,class5,2,0.2057356834411621,0,11612,1291,846,159
auto6_2,class5,3,0.9672732353210449,0,59068,5377,3832,1007
auto6_2,class5,5,3.3082218170166016,0,278979,5326,4396,1114
auto1,class1,2,0.02592015266418457,0,801,798,405,233
auto1,class1,3,0.20937228202819824,0,9789,7555,4135,456
auto1,class1,5,1.7228214740753174,0,94363,22701,14647,956
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,3.9142227172851562,0,4601,4601,2297,426
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,35.62264537811279,0,124601,65070,32205,735
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,289.16918301582336,0,1181851,65070,32205,735
heart_cleverland,3,2,0.02017521858215332,0,787,509,290,222
heart_cleverland,3,3,0.06565070152282715,0,3722,937,722,409
heart_cleverland,3,5,0.13435101509094238,0,9566,1118,922,549
analcatdata_boxing1,1,2,0.0060656070709228516,0,189,32,14,14
analcatdata_boxing1,1,3,0.0076906681060791016,0,309,32,14,14
analcatdata_boxing1,1,5,0.007593631744384766,0,309,32,14,14
qsar,RB,2,0.08897113800048828,0,3889,1386,1071,410
qsar,RB,3,0.38030123710632324,0,19405,4595,4135,581
qsar,RB,5,5.201066970825195,0,291599,58258,57072,1185
internet,ad.,2,45.37881517410278,0,2417099,1210271,673513,889
internet,ad.,3,-1.0,1,-1,-1,-1,-1
internet,ad.,5,-1.0,1,-1,-1,-1,-1
robot4,normal,2,0.011725664138793945,0,261,186,104,104
robot4,normal,3,0.0191805362701416,0,681,261,251,220
robot4,normal,5,0.028356552124023438,0,1269,346,340,328
mw1,2,2,0.06526732444763184,0,3403,1091,805,384
mw1,2,3,0.37619638442993164,0,26414,5041,4437,762
mw1,2,5,6.439351320266724,0,505179,76960,73193,2013
polish_bankruptcy_5year,1,2,0.20722603797912598,0,8639,1521,1105,507
polish_bankruptcy_5year,1,3,1.695821762084961,0,93792,8404,5809,1138
polish_bankruptcy_5year,1,5,27.766865015029907,0,1644672,68971,65676,3252
grammatical_b8,1,2,1.4111177921295166,0,82756,3025,2616,1289
grammatical_b8,1,3,10.484899520874023,0,669073,19401,15366,3143
grammatical_b8,1,5,1107.9222340583801,0,73001322,6007147,5552278,8023
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,2,281.23005723953247,0,53601,21561,10545,592
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
heart_va,3,2,0.018720149993896484,0,63,40,22,22
heart_va,3,3,0.00584721565246582,0,115,69,34,34
heart_va,3,5,0.00606226921081543,0,133,78,37,37
volcanoes-b5,4,2,0.008990764617919922,0,61,57,20,20
volcanoes-b5,4,3,0.01068115234375,0,125,90,37,37
volcanoes-b5,4,5,0.010796308517456055,0,125,90,37,37
wilt,w,2,0.01148366928100586,0,181,159,78,78
wilt,w,3,0.02097320556640625,0,613,368,260,210
wilt,w,5,0.02884054183959961,0,1045,414,332,264
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.10516881942749023,0,276,276,144,135
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.17187118530273438,0,1526,1311,666,268
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.33879590034484863,0,5426,2843,1438,396
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.019227266311645508,0,276,276,136,132
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.05111217498779297,0,1526,1526,782,313
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.1419064998626709,0,6096,2620,1597,459
mfeat-karhunen,8,2,0.2755000591278076,0,13017,646,632,316
mfeat-karhunen,8,3,0.7323651313781738,0,39385,1109,1024,715
mfeat-karhunen,8,5,2.6556434631347656,0,181657,2209,2093,1470
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0034999847412109375,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.003583669662475586,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0035703182220458984,0,7,6,4,4
Iris_UCI_,Iris-virginica,2,0.0054967403411865234,0,105,35,27,27
Iris_UCI_,Iris-virginica,3,0.006127595901489258,0,177,41,32,32
Iris_UCI_,Iris-virginica,5,0.006293296813964844,0,185,41,32,32
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.013119935989379883,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.012581825256347656,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.01286768913269043,0,7,6,4,4
thyroid_ann,2,2,0.05190134048461914,0,985,683,357,230
thyroid_ann,2,3,0.24725699424743652,0,7033,2326,1729,593
thyroid_ann,2,5,2.7734720706939697,0,85853,11280,10748,1187
seeds,2,2,0.008464813232421875,0,257,121,70,70
seeds,2,3,0.015441179275512695,0,753,202,152,141
seeds,2,5,0.021410465240478516,0,1205,239,201,185
hv_no_noise,0,2,1.1566352844238281,0,79601,20201,10100,253
hv_no_noise,0,3,35.75713324546814,0,2666801,667001,333500,336
hv_no_noise,0,5,-1.0,1,-1,-1,-1,-1
statlog_australian,1,2,0.027314186096191406,0,1103,623,348,263
statlog_australian,1,3,0.08121633529663086,0,4114,1133,774,499
statlog_australian,1,5,0.1986377239227295,0,12339,2146,1408,894
hiv_schilling,1,2,0.12364864349365234,0,7741,757,626,391
hiv_schilling,1,3,0.514641523361206,0,43161,762,628,394
hiv_schilling,1,5,0.5221385955810547,0,43361,762,628,394
heart-long-beach,4,2,0.018419265747070312,0,728,444,249,185
heart-long-beach,4,3,0.07232213020324707,0,4776,1441,999,349
heart-long-beach,4,5,0.21453571319580078,0,16349,3582,2904,560
datatrieve,2,2,0.010392189025878906,0,399,137,86,86
datatrieve,2,3,0.019714832305908203,0,1095,267,183,166
datatrieve,2,5,0.028645753860473633,0,1801,369,287,233
jEdit_4.0_4.2,2,2,0.011608600616455078,0,368,267,148,138
jEdit_4.0_4.2,2,3,0.03021860122680664,0,1682,536,352,259
jEdit_4.0_4.2,2,5,0.06118059158325195,0,4099,780,482,408
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,9.027175426483154,0,276,276,143,135
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.46179461479187,0,1526,1209,623,304
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,28.982898235321045,0,5036,2600,1330,412
pitt1_2,WOOD,2,0.0064580440521240234,0,170,45,27,27
pitt1_2,WOOD,3,0.008221626281738281,0,324,60,35,35
pitt1_2,WOOD,5,0.008681297302246094,0,368,61,35,35
backache,2,2,0.0570521354675293,0,3200,1485,803,364
backache,2,3,0.29880428314208984,0,18725,7222,3911,676
backache,2,5,3.0940728187561035,0,200434,71183,28561,1351
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.7643024921417236,0,37779,11613,6155,599
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,17.608415365219116,0,1171116,45389,28930,1019
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,54.10944080352783,0,4158793,45639,29240,1035
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,0.9155640602111816,0,276,276,134,131
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,1.4398770332336426,0,1526,1526,766,306
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,3.048827648162842,0,7776,4651,2331,438
thyroid_hypothyroid,hypothyroid,2,0.020503997802734375,0,459,303,182,164
thyroid_hypothyroid,hypothyroid,3,0.06224846839904785,0,2229,1156,872,295
thyroid_hypothyroid,hypothyroid,5,0.4663877487182617,0,18945,9521,8877,464
grammatical_a3,1,2,1.0807137489318848,0,67068,3235,3021,1228
grammatical_a3,1,3,15.380847215652466,0,1068977,46157,44978,3216
grammatical_a3,1,5,-1.0,1,-1,-1,-1,-1
crx,positive,2,0.028290510177612305,0,1190,677,371,278
crx,positive,3,0.08597946166992188,0,4867,1323,889,517
crx,positive,5,0.20716595649719238,0,12545,1872,1455,846
GermanCredit_UCI_,2,2,0.05039620399475098,0,2255,1127,647,256
GermanCredit_UCI_,2,3,0.18590283393859863,0,10000,2773,1964,460
GermanCredit_UCI_,2,5,0.3837442398071289,0,21361,5733,4493,969
pc1,2,2,0.043076515197753906,0,1866,723,463,334
pc1,2,3,0.1262671947479248,0,7094,1820,1389,459
pc1,2,5,1.2904329299926758,0,83333,20574,14996,1685
mfeat-pixel,8,2,1.6821553707122803,0,92316,5670,5410,951
mfeat-pixel,8,3,19.658419847488403,0,1117705,33937,33484,1593
mfeat-pixel,8,5,518.358146905899,0,33631664,511391,486210,4070
hv_noise,0,2,1.1557786464691162,0,79601,20201,10100,624
hv_noise,0,3,35.10687565803528,0,2666801,667001,333500,996
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.044411420822143555,0,1464,589,389,299
image,WINDOW,3,0.11220860481262207,0,5616,1053,980,600
image,WINDOW,5,0.49840450286865234,0,30123,2695,2654,1062
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,9.100434303283691,0,276,276,132,131
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,15.712263584136963,0,1526,1526,747,322
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,38.79564356803894,0,7776,4651,2318,487
polish_bankruptcy_4year,1,2,0.30510663986206055,0,11197,2147,1637,596
polish_bankruptcy_4year,1,3,2.4952752590179443,0,123029,10907,8919,1363
polish_bankruptcy_4year,1,5,44.90024995803833,0,2371057,104162,97989,4245
lung,3,2,0.07400178909301758,0,5302,995,416,224
lung,3,3,0.3466324806213379,0,29253,3658,2308,342
lung,3,5,1.5295212268829346,0,133797,12470,9053,517
credit,+,2,0.0279843807220459,0,1168,647,368,279
