dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting
spect_heart,0,2,0.02767348289489746,0,951,751,265,215
spect_heart,0,3,0.12349057197570801,0,5903,2747,2254,424
spect_heart,0,5,1.4026803970336914,0,72235,35541,46679,921
fertility,O,2,0.011686325073242188,0,348,156,141,74
fertility,O,3,0.03025221824645996,0,1399,308,554,134
fertility,O,5,0.05468344688415527,0,2798,352,1116,148
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.020110368728637695,0,276,276,137,130
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.05210518836975098,0,1526,1331,788,301
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.14525055885314941,0,5491,2890,2796,352
Mushroom_UCI_,p,2,0.14590883255004883,0,5195,773,1437,394
Mushroom_UCI_,p,3,0.4235372543334961,0,17960,1574,5709,693
Mushroom_UCI_,p,5,1.0895757675170898,0,48688,2408,17611,1251
wall24,Slight-Right-Turn,2,0.11409544944763184,0,4225,1992,1669,416
wall24,Slight-Right-Turn,3,0.6421167850494385,0,29795,4849,15546,927
wall24,Slight-Right-Turn,5,1.9238052368164062,0,91802,9353,52294,2220
thyroid_allbp,increased binding protein.,2,0.05667543411254883,0,1904,1181,657,267
thyroid_allbp,increased binding protein.,3,0.39583373069763184,0,16233,7970,6470,828
thyroid_allbp,increased binding protein.,5,11.147243738174438,0,481287,163539,227400,1656
analcatdata_creditscore,1,2,0.00756072998046875,0,174,61,84,28
analcatdata_creditscore,1,3,0.012450456619262695,0,445,108,192,46
analcatdata_creditscore,1,5,0.015119314193725586,0,605,125,244,55
primary,1,2,0.01867532730102539,0,670,420,288,166
primary,1,3,0.08634328842163086,0,4394,2271,1920,323
primary,1,5,0.643805980682373,0,33647,14209,17430,780
breast_tissue_merged,car,2,0.012388467788696289,0,433,99,174,65
breast_tissue_merged,car,3,0.022649049758911133,0,1057,152,420,103
breast_tissue_merged,car,5,0.027245521545410156,0,1325,165,516,112
pima,1,2,0.014408111572265625,0,424,418,216,180
pima,1,3,0.06597232818603516,0,3038,1398,1641,376
pima,1,5,0.1865694522857666,0,9422,1668,5367,433
Divorce,1,2,0.3383615016937256,0,17576,405,11551,432
Divorce,1,3,0.5788586139678955,0,32326,517,19393,551
Divorce,1,5,0.9290695190429688,0,54856,622,30613,652
asbestos,(3)_Above_legal_limit,2,0.004439353942871094,0,29,19,13,8
asbestos,(3)_Above_legal_limit,3,0.00479888916015625,0,41,21,18,9
asbestos,(3)_Above_legal_limit,5,0.004700422286987305,0,41,21,18,9
bupa,1,2,0.010539770126342773,0,265,247,131,122
bupa,1,3,0.033008575439453125,0,1497,414,719,165
bupa,1,5,0.04189324378967285,0,1953,425,883,169
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.005741119384765625,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.005724430084228516,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.005751609802246094,0,1,0,0,0
cardio3,2,2,0.06387615203857422,0,2147,1075,742,272
cardio3,2,3,0.33479905128479004,0,15754,5406,7558,697
cardio3,2,5,3.8729615211486816,0,195556,38335,110371,1510
volcanoes-d4,3,2,0.009419679641723633,0,61,60,17,17
volcanoes-d4,3,3,0.011318206787109375,0,125,95,36,36
volcanoes-d4,3,5,0.010991811752319336,0,125,95,36,36
pitt2_3,LONG,2,0.008018970489501953,0,196,72,89,40
pitt2_3,LONG,3,0.012488603591918945,0,438,119,194,64
pitt2_3,LONG,5,0.013806819915771484,0,515,128,221,69
grammatical_b5,1,2,6.365192413330078,0,301521,9300,217117,735
grammatical_b5,1,3,66.62104988098145,0,3255012,140729,2784666,1135
grammatical_b5,1,5,-1.0,1,-1,-1,-1,-1
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.10488605499267578,0,276,276,139,134
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.18498539924621582,0,1526,1526,768,293
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.45811939239501953,0,7776,4651,3955,410
pitt1_4,S,2,0.008192062377929688,0,205,66,94,34
pitt1_4,S,3,0.013531923294067383,0,389,92,174,44
pitt1_4,S,5,0.012177228927612305,0,435,93,192,44
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,4.0106072425842285,0,4601,2801,2224,365
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,28.239712715148926,0,76601,27704,39431,567
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,396.09747219085693,0,1266011,90637,664413,740
gesture_va,P,2,0.27896976470947266,0,8065,7734,4281,469
gesture_va,P,3,6.994492292404175,0,290585,55067,154653,720
gesture_va,P,5,49.313833475112915,0,2205253,162511,1499212,1256
connectionist_vowel,4,2,0.03693437576293945,0,1536,958,583,294
connectionist_vowel,4,3,0.21617794036865234,0,11314,3530,5098,507
connectionist_vowel,4,5,0.6996586322784424,0,37930,4799,19292,763
breast_cancer_wis_pro,R,2,0.20868754386901855,0,11507,5380,4649,421
breast_cancer_wis_pro,R,3,4.566087484359741,0,289197,10544,107462,463
breast_cancer_wis_pro,R,5,9.426490545272827,0,604655,14580,231811,557
diggle_table_a2,8,2,0.010037899017333984,0,289,104,76,70
diggle_table_a2,8,3,0.020432233810424805,0,889,235,266,196
diggle_table_a2,8,5,0.039330244064331055,0,2037,512,612,258
page,5,2,0.03104090690612793,0,737,475,244,185
page,5,3,0.10404753684997559,0,4217,1571,1671,385
page,5,5,0.29195165634155273,0,13933,3281,5975,670
steel-plates-fault,2,2,0.14937543869018555,0,6263,4735,3352,498
steel-plates-fault,2,3,1.9800565242767334,0,99532,24298,56747,995
steel-plates-fault,2,5,2.953411817550659,0,146804,37253,82449,1554
mechanical,4,2,0.022812366485595703,0,372,270,155,147
mechanical,4,3,0.06808614730834961,0,2284,1247,772,318
mechanical,4,5,0.2975764274597168,0,13582,4770,3650,510
OnlineShoppersIntention,True,2,0.12967157363891602,0,3467,1664,1429,306
OnlineShoppersIntention,True,3,1.0568645000457764,0,42730,11416,17715,699
OnlineShoppersIntention,True,5,15.525556325912476,0,700345,89490,318220,985
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.13274049758911133,0,4601,4601,2264,410
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.709634304046631,0,124601,30599,68469,649
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,12.59476351737976,0,634601,30599,326461,649
glass,3,2,0.01316213607788086,0,414,221,174,137
glass,3,3,0.0377652645111084,0,1778,556,779,264
glass,3,5,0.05857086181640625,0,2697,816,1290,318
molecular_promoter,+,2,0.4815208911895752,0,25605,1846,9894,478
molecular_promoter,+,3,1.7550981044769287,0,100629,1412,58224,591
molecular_promoter,+,5,2.444289445877075,0,137961,1312,94215,604
blood,1,2,0.006834983825683594,0,113,98,46,46
blood,1,3,0.010871648788452148,0,321,179,102,84
blood,1,5,0.012283563613891602,0,385,204,123,96
weight,B,2,2.6526529788970947,0,152702,1501,68242,432
weight,B,3,5.120625019073486,0,287505,1634,159731,535
weight,B,5,7.6773035526275635,0,427365,1566,275043,592
ozone1,1,2,0.8484025001525879,0,39341,15084,13123,557
ozone1,1,3,19.626569747924805,0,1016721,227188,596460,1066
ozone1,1,5,-1.0,1,-1,-1,-1,-1
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.30541419982910156,0,276,276,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4573211669921875,0,1526,1526,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.0371065139770508,0,7776,4651,0,0
ionosphere,b,2,0.15817475318908691,0,8070,862,3571,374
ionosphere,b,3,0.4917726516723633,0,26460,1763,14665,637
ionosphere,b,5,2.4563372135162354,0,141037,10778,59448,948
grammatical_b7,1,2,4.752242803573608,0,232981,26034,130941,1072
grammatical_b7,1,3,184.86706733703613,0,9482496,1043990,6448449,2516
grammatical_b7,1,5,-1.0,1,-1,-1,-1,-1
wine_quality,4,2,0.044152021408081055,0,1015,1003,440,246
wine_quality,4,3,0.31896090507507324,0,13027,9489,5551,478
wine_quality,4,5,3.5062735080718994,0,167107,43242,81015,950
VehicleCouponRecommendation,0,2,0.12999916076660156,0,3756,2568,1798,333
VehicleCouponRecommendation,0,3,1.3021790981292725,0,54733,17349,26738,612
VehicleCouponRecommendation,0,5,14.858672857284546,0,656753,130596,303101,1130
auto7_2,class3,2,0.021963119506835938,0,734,725,348,228
auto7_2,class3,3,0.1638171672821045,0,7842,4661,3865,448
auto7_2,class3,5,1.0158441066741943,0,52485,8436,27526,575
wave,0,2,0.10888099670410156,0,3445,2499,1701,457
wave,0,3,1.350020170211792,0,60305,11661,36905,868
wave,0,5,10.83914589881897,0,509041,29351,398742,1222
cnae9,4,2,16.195685625076294,0,836301,371951,350387,804
cnae9,4,3,-1.0,1,-1,-1,-1,-1
cnae9,4,5,-1.0,1,-1,-1,-1,-1
grammatical_a9,1,2,2.1082308292388916,0,101367,5975,78350,633
grammatical_a9,1,3,47.039366483688354,0,2403813,178719,1896665,920
grammatical_a9,1,5,-1.0,1,-1,-1,-1,-1
teaching,2,2,0.010480165481567383,0,340,48,102,21
teaching,2,3,0.013132572174072266,0,474,60,134,25
teaching,2,5,0.013119935989379883,0,494,60,143,25
auto6_1,class8,2,0.24451589584350586,0,11864,11789,5641,499
auto6_1,class8,3,10.16676640510559,0,541792,158141,260635,813
auto6_1,class8,5,122.23145747184753,0,6819821,188984,3570986,842
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.5802161693573,0,4601,4601,2314,437
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,516.9434666633606,0,124601,64957,62297,673
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,5,-1.0,1,-1,-1,-1,-1
ozone8,1,2,0.8631653785705566,0,40375,17066,15056,579
ozone8,1,3,20.52786350250244,0,1043227,172934,649814,1188
ozone8,1,5,1184.634605884552,0,62098093,6396364,43365789,2338
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.015973567962646484,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.0151214599609375,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.015778064727783203,0,9,9,0,0
bach, C#d,2,0.03189420700073242,0,609,226,208,182
bach, C#d,3,0.11383700370788574,0,4086,1315,1253,439
bach, C#d,5,1.0726604461669922,0,51359,12989,14195,776
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,33.01974105834961,0,76401,76401,38263,662
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_1year,1,2,0.7905979156494141,0,32173,23378,13123,522
polish_bankruptcy_1year,1,3,36.6230628490448,0,1864865,790441,725218,1178
polish_bankruptcy_1year,1,5,-1.0,1,-1,-1,-1,-1
coil2000,1,2,3.937464952468872,0,174003,50501,43145,725
coil2000,1,3,163.76562023162842,0,8195638,1444722,1946485,1485
coil2000,1,5,-1.0,1,-1,-1,-1,-1
robot2,back_col,2,0.012034416198730469,0,317,293,151,134
robot2,back_col,3,0.039594173431396484,0,1665,669,885,185
robot2,back_col,5,0.07223939895629883,0,3401,768,1937,229
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.025055885314941406,0,553,553,269,206
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.11498308181762695,0,4722,4717,2441,427
EqualDist_Random-Synthetic__2_7_5349_,1,5,1.13602614402771,0,53108,11645,29890,512
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.00399017333984375,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.003687143325805664,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0035097599029541016,0,9,9,0,0
auto6_3,class1,2,0.23402118682861328,0,11864,10527,5586,521
auto6_3,class1,3,7.253819227218628,0,407222,40428,213326,688
auto6_3,class1,5,28.287015914916992,0,1602873,42813,729037,692
grammatical_b1,1,2,12.86175799369812,0,636387,13273,303375,1011
grammatical_b1,1,3,89.64372491836548,0,4457466,137603,3311075,1522
grammatical_b1,1,5,-1.0,1,-1,-1,-1,-1
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.04893231391906738,0,1163,1163,567,274
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3806607723236084,0,15637,15632,8065,574
EqualDist_Random-Synthetic__2_10_7463_,1,5,6.821393728256226,0,310086,56866,186957,689
volcanoes-a1,4,2,0.0066051483154296875,0,61,42,22,22
volcanoes-a1,4,3,0.008348941802978516,0,121,61,41,41
volcanoes-a1,4,5,0.008066892623901367,0,121,61,41,41
vert3,NO,2,0.010266780853271484,0,265,196,128,115
vert3,NO,3,0.028509855270385742,0,1217,320,539,176
vert3,NO,5,0.03820395469665527,0,1769,341,765,187
CongressionalVotingRecords_UCI_,republican,2,0.028118371963500977,0,1111,390,490,211
CongressionalVotingRecords_UCI_,republican,3,0.07013821601867676,0,3304,729,2109,361
CongressionalVotingRecords_UCI_,republican,5,0.2530224323272705,0,12316,1945,10252,685
pitt2_2,WOOD,2,0.0072612762451171875,0,161,52,58,27
pitt2_2,WOOD,3,0.010434150695800781,0,340,77,123,40
pitt2_2,WOOD,5,0.011562824249267578,0,401,79,145,41
statlog_vehicle,opel,2,0.058213233947753906,0,2521,1827,1044,321
statlog_vehicle,opel,3,0.4965379238128662,0,25501,5125,12393,400
statlog_vehicle,opel,5,2.151047706604004,0,111329,12051,63563,702
pitt2_1,DECK,2,0.00793910026550293,0,192,72,76,39
pitt2_1,DECK,3,0.012373685836791992,0,421,118,169,58
pitt2_1,DECK,5,0.013887166976928711,0,492,125,196,60
grammatical_a8,1,2,6.786149501800537,0,324461,4454,231079,785
grammatical_a8,1,3,41.63981819152832,0,2050699,67553,1636153,1270
grammatical_a8,1,5,-1.0,1,-1,-1,-1,-1
grammatical_a6,1,2,2.52912974357605,0,117029,7014,83312,699
grammatical_a6,1,3,52.772154331207275,0,2621152,193420,1980142,1277
grammatical_a6,1,5,-1.0,1,-1,-1,-1,-1
auto6_2,class5,2,0.255047082901001,0,11864,11418,5726,234
auto6_2,class5,3,8.258348226547241,0,420589,37898,236097,744
auto6_2,class5,5,37.007140159606934,0,1995270,49134,1019984,844
auto1,class1,2,0.027036190032958984,0,801,801,405,224
auto1,class1,3,0.2267601490020752,0,9919,9873,5015,509
auto1,class1,5,8.089229345321655,0,388255,154367,199143,908
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,4.110911846160889,0,4601,4601,2297,430
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,42.87761402130127,0,124601,65070,61808,676
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,374.0442864894867,0,1181851,65070,602366,676
heart_cleverland,3,2,0.02226734161376953,0,802,604,379,226
heart_cleverland,3,3,0.1334214210510254,0,6847,2232,3253,392
heart_cleverland,3,5,0.45125436782836914,0,24626,3695,13245,453
analcatdata_boxing1,1,2,0.007288455963134766,0,189,32,64,14
analcatdata_boxing1,1,3,0.009992599487304688,0,309,32,106,14
analcatdata_boxing1,1,5,0.009554624557495117,0,309,32,106,14
qsar,RB,2,0.1581873893737793,0,7343,2762,2758,368
qsar,RB,3,1.3030555248260498,0,63882,15901,34722,500
qsar,RB,5,28.69859504699707,0,1442870,335713,905708,904
internet,ad.,2,54.378835916519165,0,2535449,1210513,1163291,896
internet,ad.,3,-1.0,1,-1,-1,-1,-1
internet,ad.,5,-1.0,1,-1,-1,-1,-1
robot4,normal,2,0.011909961700439453,0,261,186,105,104
robot4,normal,3,0.0231935977935791,0,797,290,408,201
robot4,normal,5,0.035479068756103516,0,1389,343,786,303
mw1,2,2,0.14158892631530762,0,7427,3235,2669,367
mw1,2,3,1.4540915489196777,0,84639,16810,33511,783
mw1,2,5,44.42489957809448,0,2789293,550061,1032806,1506
polish_bankruptcy_5year,1,2,0.7420094013214111,0,32140,13035,10137,515
polish_bankruptcy_5year,1,3,10.337464809417725,0,495356,105691,311275,1014
polish_bankruptcy_5year,1,5,881.5187623500824,0,45531960,7252300,28182944,2124
grammatical_b8,1,2,7.33082389831543,0,342285,3067,210763,660
grammatical_b8,1,3,27.541120767593384,0,1306285,25390,1021133,893
grammatical_b8,1,5,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,2,286.4553163051605,0,53601,21561,25838,572
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
heart_va,3,2,0.0055887699127197266,0,63,40,28,22
heart_va,3,3,0.006689310073852539,0,115,69,48,34
heart_va,3,5,0.007215023040771484,0,133,78,55,37
volcanoes-b5,4,2,0.010348796844482422,0,61,57,20,20
volcanoes-b5,4,3,0.012066125869750977,0,125,90,37,37
volcanoes-b5,4,5,0.011739492416381836,0,125,90,37,37
wilt,w,2,0.012631893157958984,0,181,159,78,78
wilt,w,3,0.025637388229370117,0,701,503,308,199
wilt,w,5,0.041745901107788086,0,1365,711,663,253
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.10795331001281738,0,276,276,144,134
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.1753711700439453,0,1526,1314,775,287
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.36561131477355957,0,5431,2850,2822,352
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.020285844802856445,0,276,276,136,131
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.05161595344543457,0,1526,1526,782,302
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.19345831871032715,0,7601,4458,4210,394
mfeat-karhunen,8,2,0.699878454208374,0,32013,6883,13132,370
mfeat-karhunen,8,3,2.7527194023132324,0,130857,2846,104932,581
mfeat-karhunen,8,5,5.675171613693237,0,274065,2745,244189,779
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0037162303924560547,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.004027843475341797,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.003971099853515625,0,7,6,4,4
Iris_UCI_,Iris-virginica,2,0.006395578384399414,0,105,35,42,27
Iris_UCI_,Iris-virginica,3,0.007539272308349609,0,177,41,69,32
Iris_UCI_,Iris-virginica,5,0.007926225662231445,0,185,41,73,32
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.014597892761230469,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.013900518417358398,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.014084339141845703,0,7,6,4,4
thyroid_ann,2,2,0.06300234794616699,0,1219,963,471,257
thyroid_ann,2,3,0.34659814834594727,0,10843,6522,4535,602
thyroid_ann,2,5,6.677710294723511,0,227077,80572,114976,1060
seeds,2,2,0.009799003601074219,0,257,121,112,70
seeds,2,3,0.020093917846679688,0,801,208,373,144
seeds,2,5,0.02919626235961914,0,1281,247,607,186
hv_no_noise,0,2,1.3755512237548828,0,79601,20201,26667,420
hv_no_noise,0,3,43.531084060668945,0,2666801,667001,704898,505
hv_no_noise,0,5,-1.0,1,-1,-1,-1,-1
statlog_australian,1,2,0.03342628479003906,0,1328,786,587,271
statlog_australian,1,3,0.11814188957214355,0,5540,1621,2903,488
statlog_australian,1,5,0.33383893966674805,0,16499,2806,9827,863
hiv_schilling,1,2,0.20377850532531738,0,10321,1638,3159,365
hiv_schilling,1,3,1.238274335861206,0,76861,1616,15621,366
hiv_schilling,1,5,1.236633539199829,0,77081,1616,15672,366
heart-long-beach,4,2,0.01958179473876953,0,728,464,315,185
heart-long-beach,4,3,0.11591291427612305,0,6295,2144,2383,343
heart-long-beach,4,5,0.6295559406280518,0,35436,8310,12140,518
datatrieve,2,2,0.012461423873901367,0,399,137,137,86
datatrieve,2,3,0.025527238845825195,0,1141,281,370,169
datatrieve,2,5,0.04153847694396973,0,2089,443,686,245
jEdit_4.0_4.2,2,2,0.012552499771118164,0,368,276,181,139
jEdit_4.0_4.2,2,3,0.041695594787597656,0,1879,638,924,258
jEdit_4.0_4.2,2,5,0.08526611328125,0,4392,866,2058,391
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,8.865396976470947,0,276,276,143,135
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.637283325195312,0,1526,1209,787,297
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,29.39774250984192,0,5036,2600,2572,367
pitt1_2,WOOD,2,0.0075953006744384766,0,170,45,63,27
pitt1_2,WOOD,3,0.01036381721496582,0,324,60,121,35
pitt1_2,WOOD,5,0.011129379272460938,0,368,61,137,35
backache,2,2,0.06781888008117676,0,3293,1757,1531,357
backache,2,3,0.7081284523010254,0,39038,17560,17751,595
backache,2,5,15.458613395690918,0,873516,357034,395600,1032
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.9650146961212158,0,44310,19653,18208,565
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,31.426562547683716,0,1665107,209170,615246,863
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,278.7669987678528,0,15590579,208874,5130500,870
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,0.9047379493713379,0,276,276,134,130
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,1.4536287784576416,0,1526,1526,766,277
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,3.293306827545166,0,7776,4651,3909,367
thyroid_hypothyroid,hypothyroid,2,0.02268362045288086,0,507,348,189,166
thyroid_hypothyroid,hypothyroid,3,0.10037994384765625,0,3947,2439,1290,359
thyroid_hypothyroid,hypothyroid,5,1.534759759902954,0,72017,40086,21274,542
grammatical_a3,1,2,2.9222700595855713,0,150110,6206,100812,709
grammatical_a3,1,3,43.86720252037048,0,2356604,139480,1593968,1056
grammatical_a3,1,5,-1.0,1,-1,-1,-1,-1
crx,positive,2,0.036417245864868164,0,1483,861,633,290
crx,positive,3,0.14218378067016602,0,6868,1933,3413,507
crx,positive,5,0.38804197311401367,0,19104,2788,11561,800
GermanCredit_UCI_,2,2,0.07057547569274902,0,2664,1835,1353,237
GermanCredit_UCI_,2,3,0.5214118957519531,0,26233,9731,14192,388
GermanCredit_UCI_,2,5,2.5199825763702393,0,122317,38431,75186,712
pc1,2,2,0.06369280815124512,0,2749,1512,806,336
pc1,2,3,0.567946195602417,0,30209,10355,9516,575
pc1,2,5,8.561830759048462,0,474655,119869,151173,1282
mfeat-pixel,8,2,18.680485010147095,0,946418,28897,343892,1092
mfeat-pixel,8,3,113.16078567504883,0,5374137,263850,3473284,1892
mfeat-pixel,8,5,-1.0,1,-1,-1,-1,-1
hv_noise,0,2,1.4496657848358154,0,79601,20209,26173,476
hv_noise,0,3,46.202112436294556,0,2667473,667010,802364,855
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.05829977989196777,0,2134,1004,835,317
image,WINDOW,3,0.2591574192047119,0,12073,2881,6002,605
image,WINDOW,5,1.50160813331604,0,75354,12079,43976,1054
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,9.214761972427368,0,276,276,132,129
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,15.949037313461304,0,1526,1526,747,312
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,40.284969091415405,0,7776,4651,3885,427
polish_bankruptcy_4year,1,2,0.8638455867767334,0,32361,25940,12510,552
polish_bankruptcy_4year,1,3,38.43138837814331,0,1780025,548428,828262,1132
polish_bankruptcy_4year,1,5,-1.0,1,-1,-1,-1,-1
lung,3,2,0.11366701126098633,0,5896,1268,2542,238
lung,3,3,0.9160513877868652,0,52318,9241,20706,371
lung,3,5,7.453421115875244,0,432686,60496,178600,494
